α,β,γ,δ,ε,η,θ,ι,κ,λ,μ,ν,π,ρ,σ,τ,φ,χ,ψ,ω
3.0,89.0,3.0,92.0,1.0,6.0,9.0,2.0,2.0,12.0,1.0,6.0,29.0,4.0,13.0,5.0,5.0,8.0,3.0,3.0
5.0,79.0,5.0,84.0,1.0,1.0,6.0,2.0,7.0,18.0,0.0,3.0,28.0,13.0,16.0,2.0,4.0,18.0,3.0,1.0
6.0,87.0,1.0,79.0,3.0,5.0,8.0,3.0,2.0,20.0,0.0,5.0,33.0,10.0,10.0,2.0,7.0,8.0,4.0,3.0
3.0,91.0,7.0,86.0,0.0,3.0,3.0,4.0,7.0,10.0,1.0,4.0,39.0,10.0,11.0,2.0,2.0,6.0,4.0,3.0
4.0,79.0,6.0,82.0,2.0,4.0,6.0,0.0,4.0,16.0,1.0,4.0,38.0,3.0,19.0,2.0,8.0,11.0,1.0,6.0
6.0,53.0,2.0,96.0,2.0,6.0,11.0,4.0,2.0,22.0,1.0,6.0,34.0,6.0,18.0,7.0,4.0,8.0,5.0,3.0
11.0,71.0,3.0,86.0,2.0,7.0,10.0,0.0,2.0,16.0,0.0,8.0,46.0,8.0,6.0,4.0,3.0,6.0,3.0,4.0
2.0,74.0,7.0,79.0,2.0,5.0,8.0,2.0,3.0,17.0,1.0,5.0,49.0,4.0,11.0,4.0,8.0,8.0,2.0,5.0
6.0,72.0,1.0,78.0,1.0,5.0,17.0,6.0,5.0,14.0,1.0,6.0,43.0,4.0,16.0,2.0,1.0,13.0,2.0,3.0
4.0,63.0,4.0,84.0,5.0,5.0,15.0,2.0,5.0,16.0,1.0,9.0,35.0,2.0,20.0,4.0,7.0,10.0,1.0,4.0
6.0,81.0,5.0,80.0,2.0,7.0,13.0,4.0,5.0,15.0,2.0,4.0,41.0,4.0,7.0,2.0,5.0,9.0,2.0,2.0
