primaryAccession;location_inside_cell;ProteinEntryReviewed
Q9Y6G9;Recycling endosome membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G9;Recycling endosome membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G9;Kinetochore;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G9;Kinetochore;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y530;Nucleoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y530;Nucleoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G9;Spindle pole;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G9;Spindle pole;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y530;Chromosome;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y530;Chromosome;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G9;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G9;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y530;Nucleolus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y530;Nucleolus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y605;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6I3;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y605;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y605;Perinuclear region;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y605;Perinuclear region;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6I3;Cell membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6I3;Clathrin-coated pit;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6I3;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6I3;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6I3;Cell membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6I3;Clathrin-coated pit;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6I3;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y399;Mitochondrion;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y399;Mitochondrion;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Cytoskeleton;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Cytoskeleton;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Filopodium;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Filopodium;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y383;Nucleus speckle;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y383;Nucleus speckle;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y383;Nucleoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y383;Nucleoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Apical cell membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Apical cell membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Stereocilium membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Stereocilium membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Stereocilium;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4F9;Stereocilium;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y697;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y697;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y697;Centrosome;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y697;Centrosome;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y697;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y697;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y697;Mitochondrion;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y697;Mitochondrion;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y613;Cytoskeleton;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y613;Cytoskeleton;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y613;Bleb;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y613;Bleb;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y613;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y613;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5W3;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5W3;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5K5;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5K5;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3C4;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3C4;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5K5;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3C4;Cytosol;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3C4;Cytosol;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5K5;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3F4;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5Q8;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6X9;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3F4;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5Q8;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6X9;Nucleus matrix;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6X9;Chromosome;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6X9;Cytosol;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3F4;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3F4;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6X9;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G5;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6X9;Nucleus matrix;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6X9;Chromosome;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6X9;Cytosol;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G5;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G5;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5P4;Endoplasmic reticulum;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5P4;Endoplasmic reticulum;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5P4;Golgi apparatus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5P4;Golgi apparatus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5P4;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5P4;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6G5;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6W5;Cytoskeleton;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6W5;Cytoskeleton;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6W5;Lamellipodium;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6W5;Lamellipodium;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6W5;Basolateral cell membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y6W5;Basolateral cell membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y376;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D8;Nucleoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D8;Nucleoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y376;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D8;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D8;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D8;Cajal body;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D8;Cajal body;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y639;Postsynaptic density;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y639;Postsynaptic density;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y639;Cell membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y639;Cell membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y450;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y450;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y450;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y450;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D0;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D0;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4P8;Preautophagosomal structure membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D0;Spindle;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D0;Spindle;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D0;Midbody;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3D0;Midbody;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y388;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3B2;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y388;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y4P8;Preautophagosomal structure membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3B2;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3B2;Nucleolus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3B2;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3A4;Cilium;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3A4;Cilium;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Cytoplasmic vesicle membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Cytoplasmic vesicle membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Cell membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Cell membrane;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Cell junction;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Cell junction;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Centrosome;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3A4;Centrosome;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Centrosome;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3A4;Centrosome;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3B2;Cytoplasm;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3A4;Nucleolus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3A4;Nucleolus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y3B2;Nucleolus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Mitochondrion;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y696;Mitochondrion;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y586;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
Q9Y5U2;Nucleus;true^^<http://www.w3.org/2001/XMLSchema#boolean>
