name	ID	CntrUS_vs_CntrStim_p.val	FarnStim_vs_CntrStim_p.val	FarnStim_vs_CntrUS_p.val	FarnStim_vs_GeraStim_p.val	FarnStim_vs_GeraUS_p.val	FarnUS_vs_CntrStim_p.val	FarnUS_vs_CntrUS_p.val	FarnUS_vs_FarnStim_p.val	FarnUS_vs_GeraStim_p.val	FarnUS_vs_GeraUS_p.val	GeraStim_vs_CntrStim_p.val	GeraStim_vs_CntrUS_p.val	GeraUS_vs_CntrStim_p.val	GeraUS_vs_CntrUS_p.val	GeraUS_vs_GeraStim_p.val	CntrUS_vs_CntrStim_p.adj	FarnStim_vs_CntrStim_p.adj	FarnStim_vs_CntrUS_p.adj	FarnStim_vs_GeraStim_p.adj	FarnStim_vs_GeraUS_p.adj	FarnUS_vs_CntrStim_p.adj	FarnUS_vs_CntrUS_p.adj	FarnUS_vs_FarnStim_p.adj	FarnUS_vs_GeraStim_p.adj	FarnUS_vs_GeraUS_p.adj	GeraStim_vs_CntrStim_p.adj	GeraStim_vs_CntrUS_p.adj	GeraUS_vs_CntrStim_p.adj	GeraUS_vs_CntrUS_p.adj	GeraUS_vs_GeraStim_p.adj	CntrUS_vs_CntrStim_significant	FarnStim_vs_CntrStim_significant	FarnStim_vs_CntrUS_significant	FarnStim_vs_GeraStim_significant	FarnStim_vs_GeraUS_significant	FarnUS_vs_CntrStim_significant	FarnUS_vs_CntrUS_significant	FarnUS_vs_FarnStim_significant	FarnUS_vs_GeraStim_significant	FarnUS_vs_GeraUS_significant	GeraStim_vs_CntrStim_significant	GeraStim_vs_CntrUS_significant	GeraUS_vs_CntrStim_significant	GeraUS_vs_CntrUS_significant	GeraUS_vs_GeraStim_significant	significant	CntrUS_vs_CntrStim_ratio	FarnStim_vs_CntrStim_ratio	FarnStim_vs_CntrUS_ratio	FarnStim_vs_GeraStim_ratio	FarnStim_vs_GeraUS_ratio	FarnUS_vs_CntrStim_ratio	FarnUS_vs_CntrUS_ratio	FarnUS_vs_FarnStim_ratio	FarnUS_vs_GeraStim_ratio	FarnUS_vs_GeraUS_ratio	GeraStim_vs_CntrStim_ratio	GeraStim_vs_CntrUS_ratio	GeraUS_vs_CntrStim_ratio	GeraUS_vs_CntrUS_ratio	GeraUS_vs_GeraStim_ratio	CntrStim_centered	CntrUS_centered	FarnStim_centered	FarnUS_centered	GeraStim_centered	GeraUS_centered
ABCB7	O75027	0.525212316362881	2.26394884770906e-05	4.23227603805979e-06	0.568233235264927	0.68335030986236	7.09696466857706e-06	1.35540826392927e-06	0.660432052204612	0.316041288245229	0.974800548565627	0.0001034049589787	1.90439880401709e-05	7.71005829260179e-06	1.46990560248358e-06	0.331083074094949	0.895	0.092	0.119	0.939	0.929	0.249	0.00385	0.903	0.93	0.965	0.775	0.62	0.76	0.649	0.863	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	-0.127	1.02	1.15	0.114	-0.0815	1.11	1.23	0.0878	0.202	0.0063	0.906	1.03	1.1	1.23	0.196	-0.668	-0.795	0.352	0.44	0.238	0.434
ABHD16A	O95870	0.579557141460159	6.81564449515656e-07	1.69491423627225e-07	0.154216203616181	0.79255061500396	4.29529833054591e-07	1.08138703242655e-07	0.855033413146948	0.210766925316614	0.935907870489191	1.94198596841264e-08	5.363288804071241e-09	3.50991103458847e-07	8.88564676045305e-08	0.240210584257496	0.9	0.0143	0.028	0.913	0.932	0.114	0.00033	0.917	0.924	0.964	0.356	0.24	0.649	0.483	0.84	False	True	True	False	False	False	True	False	False	False	False	False	False	False	False	True	-0.225	2.61	2.84	-0.589	-0.107	2.69	2.91	0.074	-0.515	-0.0326	3.2	3.43	2.72	2.95	-0.482	-1.83	-2.06	0.781	0.855	1.37	0.887
ACAA1	P09110	0.308060342065273	1.37149858597696e-13	7.85175059428966e-13	0.0078206332282263	0.0077135563013613	1.3996996969733399e-12	9.250076113417599e-12	0.182120286766065	0.142446060790526	0.140993109936251	2.2718363527378197e-11	1.79547563935563e-10	2.2972237122875697e-11	1.81685203640163e-10	0.995441907904488	0.868	1.72e-11	3.73e-07	0.83	0.824	3.45e-05	8.96e-11	0.811	0.919	0.942	0.088	0.114	0.184	0.137	0.925	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	True	0.296	3.99	3.7	0.82	0.821	3.6	3.31	-0.39	0.43	0.432	3.17	2.88	3.17	2.88	-0.00164	-2.37	-2.08	1.62	1.23	0.801	0.799
ACOT8	O14734	0.118547247132666	9.50880297048811e-10	3.64966176100756e-08	0.109925945821916	0.0167160674432529	7.7971327934237e-08	4.42361128843905e-06	0.0643112763147541	0.783798668887742	0.536592572132651	4.0207906066119e-08	2.1686323849474e-06	3.60708078667094e-07	2.26034341384336e-05	0.374575061373892	0.807	4.34e-05	0.0119	0.906	0.847	0.0588	0.0102	0.698	0.943	0.958	0.402	0.512	0.65	0.765	0.872	False	True	True	False	False	False	True	False	False	False	False	False	False	False	False	True	0.332	1.92	1.59	0.34	0.526	1.52	1.19	-0.397	-0.0569	0.129	1.58	1.25	1.39	1.06	-0.186	-1.12	-0.791	0.794	0.397	0.454	0.269
ACOX1	Q15067	9.75072171936843e-07	7.93671091715593e-15	6.51715358638125e-10	0.147203835617966	0.342847513659925	3.44180363369772e-12	4.28660911519789e-06	0.0009972611200143	2.00306475045026e-05	0.0108620365691906	9.47595421456085e-16	3.10941675343031e-11	3.43060949788017e-14	5.4244177142497e-09	0.020886058533982	0.0116	4.87e-14	0.000717	0.912	0.916	8.61e-05	0.00997	0.175	0.642	0.901	0.0007	0.0699	0.0252	0.293	0.553	True	True	True	False	False	True	True	False	False	False	True	False	True	False	False	True	1.7	4.24	2.54	-0.399	0.258	3.25	1.55	-0.991	-1.39	-0.733	4.64	2.94	3.98	2.28	-0.657	-2.97	-1.27	1.27	0.281	1.67	1.01
ACSL3	O95573	0.0017134631801574	6.59743957042303e-05	1.05485523227459e-08	0.850328511174624	0.276140712313851	0.0326303043035183	4.76398877122074e-06	0.0193752927436199	0.0295748045446264	0.178972778743974	0.0001089032931026	1.63772797461988e-08	0.0011994012268702	1.47066789054884e-07	0.365069225997686	0.359	0.144	0.00539	0.946	0.912	0.799	0.0108	0.525	0.893	0.945	0.777	0.289	0.867	0.516	0.87	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	True	-1.03	1.39	2.42	0.0559	0.326	0.662	1.69	-0.731	-0.675	-0.405	1.34	2.36	1.07	2.09	-0.27	-0.572	-1.6	0.821	0.0897	0.765	0.495
ADAM10	O14672	0.585992193952381	1.7464691098478202e-10	5.51421843405984e-10	6.252145653856089e-11	1.58446104227457e-12	7.8706648619755e-11	2.41842084874333e-10	0.697169957509759	1.37962147691991e-10	3.20341327745258e-12	1.26694519942279e-17	2.4371498871907902e-17	1.39598848779486e-18	2.5506419654835198e-18	0.0608737761520315	0.9	5.94e-06	0.000627	0.00298	0.00134	0.00132	6.29e-08	0.906	0.0519	0.00166	2.04e-05	1.82e-05	4.31e-05	1.14e-06	0.702	False	True	True	True	True	True	True	False	False	True	True	True	True	True	False	True	0.0901	1.66	1.57	-1.74	-2.06	1.72	1.63	0.0643	-1.68	-2.0	3.4	3.31	3.72	3.63	0.32	-1.76	-1.67	-0.107	-0.0425	1.63	1.95
AGK	Q53H12	0.967518532922144	8.08560137107616e-07	8.96901378203187e-07	0.471981642498322	0.633389992675851	2.25399099262341e-05	2.51057337512241e-05	0.208163225794131	0.0537849915073486	0.0879333448142372	1.32483534885071e-07	1.46444932817778e-07	2.42783126472529e-07	2.68701176031324e-07	0.806637796346062	0.922	0.0159	0.0608	0.935	0.928	0.318	0.0329	0.823	0.903	0.936	0.475	0.381	0.633	0.554	0.915	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	True	0.00729	1.14	1.14	-0.129	-0.0856	0.915	0.908	-0.229	-0.358	-0.314	1.27	1.27	1.23	1.22	-0.0438	-0.762	-0.754	0.382	0.154	0.512	0.468
ALDH1B1	P30837	0.838488618857106	5.35500512069687e-13	7.6245486566667e-13	3.31336205710395e-08	4.95596128387956e-09	1.0487471076699199e-11	1.54811843654355e-11	0.108819690114423	1.98057126301582e-06	2.49894684176351e-07	9.94947114215877e-06	1.70327837378233e-05	8.63306971124053e-05	0.0001483051837146	0.417510318433815	0.916	3.54e-10	3.6e-07	0.0795	0.0843	0.00026	2.78e-10	0.76	0.492	0.281	0.695	0.614	0.82	0.821	0.879	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	True	0.0645	4.14	4.08	2.43	2.69	3.62	3.56	-0.52	1.91	2.17	1.71	1.65	1.46	1.39	-0.258	-1.83	-1.77	2.31	1.79	-0.12	-0.378
ALDH9A1	P49189	0.0165702947682568	1.02893096093817e-16	3.2306436324903803e-15	2.4468674651862196e-11	8.84451075633441e-12	5.43774559454751e-16	2.1366897549970402e-14	0.212817511492699	3.17871161190365e-10	1.05881556754163e-10	2.16587974297585e-08	1.27743908219938e-05	7.71307651187391e-08	5.20288113530304e-05	0.596829770657079	0.621	4.87e-14	1.33e-11	0.00147	0.00391	2.61e-10	3.85e-14	0.825	0.0682	0.0138	0.363	0.601	0.578	0.792	0.9	False	True	True	True	True	True	True	False	False	True	False	False	False	False	False	True	0.668	4.97	4.3	2.9	3.04	4.64	3.97	-0.333	2.57	2.71	2.07	1.4	1.93	1.26	-0.14	-2.38	-1.71	2.59	2.26	-0.31	-0.449
