name	ID	CntrUS_vs_CntrStim_p.val	FarnStim_vs_CntrStim_p.val	FarnStim_vs_CntrUS_p.val	FarnStim_vs_GeraStim_p.val	FarnStim_vs_GeraUS_p.val	FarnUS_vs_CntrStim_p.val	FarnUS_vs_CntrUS_p.val	FarnUS_vs_FarnStim_p.val	FarnUS_vs_GeraStim_p.val	FarnUS_vs_GeraUS_p.val	GeraStim_vs_CntrStim_p.val	GeraStim_vs_CntrUS_p.val	GeraUS_vs_CntrStim_p.val	GeraUS_vs_CntrUS_p.val	GeraUS_vs_GeraStim_p.val	CntrUS_vs_CntrStim_p.adj	FarnStim_vs_CntrStim_p.adj	FarnStim_vs_CntrUS_p.adj	FarnStim_vs_GeraStim_p.adj	FarnStim_vs_GeraUS_p.adj	FarnUS_vs_CntrStim_p.adj	FarnUS_vs_CntrUS_p.adj	FarnUS_vs_FarnStim_p.adj	FarnUS_vs_GeraStim_p.adj	FarnUS_vs_GeraUS_p.adj	GeraStim_vs_CntrStim_p.adj	GeraStim_vs_CntrUS_p.adj	GeraUS_vs_CntrStim_p.adj	GeraUS_vs_CntrUS_p.adj	GeraUS_vs_GeraStim_p.adj	CntrUS_vs_CntrStim_significant	FarnStim_vs_CntrStim_significant	FarnStim_vs_CntrUS_significant	FarnStim_vs_GeraStim_significant	FarnStim_vs_GeraUS_significant	FarnUS_vs_CntrStim_significant	FarnUS_vs_CntrUS_significant	FarnUS_vs_FarnStim_significant	FarnUS_vs_GeraStim_significant	FarnUS_vs_GeraUS_significant	GeraStim_vs_CntrStim_significant	GeraStim_vs_CntrUS_significant	GeraUS_vs_CntrStim_significant	GeraUS_vs_CntrUS_significant	GeraUS_vs_GeraStim_significant	significant	CntrUS_vs_CntrStim_ratio	FarnStim_vs_CntrStim_ratio	FarnStim_vs_CntrUS_ratio	FarnStim_vs_GeraStim_ratio	FarnStim_vs_GeraUS_ratio	FarnUS_vs_CntrStim_ratio	FarnUS_vs_CntrUS_ratio	FarnUS_vs_FarnStim_ratio	FarnUS_vs_GeraStim_ratio	FarnUS_vs_GeraUS_ratio	GeraStim_vs_CntrStim_ratio	GeraStim_vs_CntrUS_ratio	GeraUS_vs_CntrStim_ratio	GeraUS_vs_CntrUS_ratio	GeraUS_vs_GeraStim_ratio	CntrStim_centered	CntrUS_centered	FarnStim_centered	FarnUS_centered	GeraStim_centered	GeraUS_centered
ABCB7	O75027	0.524984308028694	2.23783747233527e-05	4.17437716225665e-06	0.568020426749361	0.683185800732582	7.00461002249521e-06	1.33485371017841e-06	0.6602571755611	0.315773663309706	0.974786729061663	0.0001024085289938	1.88201722754743e-05	7.61054641037463e-06	1.44777109267279e-06	0.330815787494307	0.917	0.104	0.162	0.933	0.928	0.291	0.00352	0.899	0.939	0.964	0.797	0.65	0.763	0.634	0.882	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	-0.127	1.02	1.15	0.114	-0.0815	1.11	1.23	0.0878	0.202	0.0063	0.906	1.03	1.1	1.23	0.196	-0.668	-0.795	0.352	0.44	0.238	0.434
ABHD16A	O95870	0.903697349173395	9.603875061439911e-09	7.26423887142833e-09	0.0690009350276578	0.733999157990639	5.578538428708631e-09	4.235879095656251e-09	0.813344102781716	0.109225696586286	0.917215031594261	1.56808743286532e-10	1.22226052847932e-10	4.4029683343308405e-09	3.3489366877000303e-09	0.132359376501772	0.936	0.000654	0.00747	0.886	0.93	0.0256	5.03e-06	0.91	0.926	0.963	0.168	0.116	0.429	0.252	0.818	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	True	-0.0379	2.57	2.61	-0.589	-0.107	2.65	2.68	0.074	-0.515	-0.0326	3.16	3.2	2.68	2.72	-0.482	-1.84	-1.87	0.735	0.809	1.32	0.842
ACAA1	P09110	0.307734750978624	1.31638695397059e-13	7.55609176276858e-13	0.0077784197792901	0.0076717859652276	1.34816584870514e-12	8.934791184221559e-12	0.18182546945071	0.142176578190198	0.140724752833731	2.19735307565372e-11	1.74196726459883e-10	2.22194498997461e-11	1.7627375981273102e-10	0.995438849409216	0.896	4.08e-11	1.36e-06	0.816	0.825	6.77e-05	6.67e-11	0.802	0.929	0.941	0.0994	0.127	0.184	0.126	0.935	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	True	0.296	3.99	3.7	0.82	0.821	3.6	3.31	-0.39	0.43	0.432	3.17	2.88	3.17	2.88	-0.00164	-2.37	-2.08	1.62	1.23	0.801	0.799
ACOT8	O14734	0.118335197000562	9.267787837472901e-10	3.57555108150306e-08	0.109721153725549	0.016651995164894	7.64686923926586e-08	4.36221210373156e-06	0.0641567841513993	0.783679275605965	0.536361370204305	3.93967564275046e-08	2.13650197764965e-06	3.5450292336328e-07	2.23374268246124e-05	0.374303178042352	0.849	6.39e-05	0.0193	0.898	0.848	0.0759	0.00947	0.685	0.95	0.957	0.448	0.548	0.657	0.752	0.889	False	True	True	False	False	False	True	False	False	False	False	False	False	False	False	True	0.332	1.92	1.59	0.34	0.526	1.52	1.19	-0.397	-0.0569	0.129	1.58	1.25	1.39	1.06	-0.186	-1.12	-0.791	0.794	0.397	0.454	0.269
ACOX1	Q15067	1.11166133072595e-05	7.415609893020661e-14	1.9988925895520503e-09	0.184946890976196	0.386578429303753	2.8902502786548798e-11	7.07352649949418e-06	0.0022957597082183	6.70125100922674e-05	0.0190110342090633	9.07584397012433e-15	1.12486261138223e-10	3.1406760825187697e-13	1.46165325680838e-08	0.0337207923038033	0.0716	1.08e-11	0.00318	0.91	0.918	0.00106	0.0137	0.238	0.748	0.91	0.00421	0.114	0.0621	0.348	0.675	False	True	True	False	False	True	True	False	False	False	True	False	False	False	False	True	1.59	4.22	2.63	-0.399	0.258	3.23	1.64	-0.991	-1.39	-0.733	4.62	3.03	3.97	2.37	-0.657	-2.94	-1.35	1.28	0.293	1.68	1.03
ACSL3	O95573	0.0017007594460285	6.51964677834369e-05	1.02945340675537e-08	0.850228245827858	0.275814161599549	0.0325110443854756	4.69050479689645e-06	0.0192919948790315	0.0294631439192617	0.178676760329061	0.0001076936704113	1.59932101336671e-08	0.001189944536122	1.4407791248572e-07	0.364743470931655	0.43	0.16	0.00931	0.941	0.911	0.824	0.01	0.507	0.907	0.944	0.798	0.312	0.867	0.5	0.887	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	True	-1.03	1.39	2.42	0.0559	0.326	0.662	1.69	-0.731	-0.675	-0.405	1.34	2.36	1.07	2.09	-0.27	-0.572	-1.6	0.821	0.0897	0.765	0.495
ADAM10	O14672	0.585827139586877	1.70256523272564e-10	5.3841945008632e-10	6.086202897713149e-11	1.53434946277851e-12	7.664244885077709e-11	2.3586955173323703e-10	0.697043426691493	1.34449647428977e-10	3.10524148204258e-12	1.20580940281688e-17	2.3218243634177602e-17	1.32422370300898e-18	2.42171762940725e-18	0.0607547762260902	0.921	9.08e-06	0.0013	0.00239	0.00126	0.00205	5.11e-08	0.902	0.0618	0.0017	3.13e-05	2.77e-05	4.64e-05	8.57e-07	0.744	False	True	True	True	True	True	True	False	False	True	True	True	True	True	False	True	0.0901	1.66	1.57	-1.74	-2.06	1.72	1.63	0.0643	-1.68	-2.0	3.4	3.31	3.72	3.63	0.32	-1.76	-1.67	-0.107	-0.0425	1.63	1.95
AGK	Q53H12	0.96750259205634	7.9649414547561e-07	8.83636045269561e-07	0.471762791455591	0.633222783262945	2.22971856079605e-05	2.48386592010455e-05	0.207935921311843	0.0536625609601039	0.0877724446972491	1.30196260708766e-07	1.4393580926114e-07	2.38783343229294e-07	2.64309796499842e-07	0.806544666736056	0.938	0.0188	0.0892	0.929	0.927	0.368	0.0312	0.815	0.916	0.934	0.52	0.406	0.64	0.538	0.926	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	True	0.00729	1.14	1.14	-0.129	-0.0856	0.915	0.908	-0.229	-0.358	-0.314	1.27	1.27	1.23	1.22	-0.0438	-0.762	-0.754	0.382	0.154	0.512	0.468
ALDH1B1	P30837	0.838378511353029	5.14804489891523e-13	7.33378946385909e-13	3.23820265101011e-08	4.830005304414191e-09	1.0127464284752298e-11	1.49585075991407e-11	0.108573826487253	1.94718390604917e-06	2.44948048021138e-07	9.80433465800765e-06	1.67971172290927e-05	8.53305296958878e-05	0.0001466973192092	0.417187966599351	0.934	7.4e-10	1.31e-06	0.0688	0.0809	0.00045	2.1e-10	0.749	0.554	0.289	0.724	0.645	0.822	0.811	0.895	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	True	0.0645	4.14	4.08	2.43	2.69	3.62	3.56	-0.52	1.91	2.17	1.71	1.65	1.46	1.39	-0.258	-1.83	-1.77	2.31	1.79	-0.12	-0.378
ALDH9A1	P49189	0.0164985616413936	9.77368717095298e-17	3.0848466044439503e-15	2.3680065481172298e-11	8.54649971155917e-12	5.17833169837858e-16	2.04610028783044e-14	0.212518734451655	3.08796608292642e-10	1.0269197349582101e-10	2.11706891097296e-08	1.25999022693437e-05	7.55307191498796e-08	5.14170106746568e-05	0.596591212075026	0.697	4.64e-14	1.01e-10	0.00122	0.00383	1.05e-09	3.41e-14	0.817	0.0806	0.0137	0.41	0.632	0.586	0.78	0.913	False	True	True	True	True	True	True	False	False	True	False	False	False	False	False	True	0.668	4.97	4.3	2.9	3.04	4.64	3.97	-0.333	2.57	2.71	2.07	1.4	1.93	1.26	-0.14	-2.38	-1.71	2.59	2.26	-0.31	-0.449
