"name"	"ID"	"FTI_Faz_vs_cntr_Faz_p.val"	"FTI_Faz_vs_cntr_Faz_p.adj"	"significant"	"FTI_Faz_vs_cntr_Faz_significant"	"FTI_Faz_vs_cntr_Faz_ratio"	"cntr_Faz_centered"	"FTI_Faz_centered"
"APOL3"	"O95236"	1.185839795007e-06	2.06e-09	TRUE	TRUE	-2.39	1.2	-1.2
"ATP5C1"	"P36542"	0.000392272044279299	0.0283	TRUE	TRUE	0.926	-0.463	0.463
"BROX"	"Q5VW32"	1.81526062353285e-09	2.79e-14	TRUE	TRUE	-5.55	2.78	-2.78
"C12orf73"	"Q69YU5"	8.79905847083382e-05	0.00224	TRUE	TRUE	1.98	-0.989	0.989
"CD63"	"P08962"	4.22864188347576e-05	0.000442	TRUE	TRUE	2.18	-1.09	1.09
"CENPF"	"P49454"	2.82347505362108e-05	0.000164	TRUE	TRUE	-5.35	2.67	-2.67
"CEP85"	"Q6P2H3"	9.69228807564923e-09	2.79e-14	TRUE	TRUE	-5.18	2.59	-2.59
"CEP85L"	"Q5SZL2"	5.1144211167446e-08	2.79e-14	TRUE	TRUE	-3.23	1.61	-1.61
"CPA4"	"Q9UI42"	0.000220749529723457	0.0118	TRUE	TRUE	-1.41	0.705	-0.705
"DCAF8"	"Q5TAQ9"	0.000171967607371439	0.00777	TRUE	TRUE	-4.13	2.07	-2.07
"DNAJA1"	"P31689"	2.45554632786236e-08	2.79e-14	TRUE	TRUE	-4.04	2.02	-2.02
"DNAJA2"	"O60884"	1.71156253407827e-07	2.79e-14	TRUE	TRUE	-4.06	2.03	-2.03
"DNAJA4"	"Q8WW22"	5.94010824163092e-09	2.79e-14	TRUE	TRUE	-8.04	4.02	-4.02
"DPCD"	"Q9BVM2"	2.19322332018001e-05	8.7e-05	TRUE	TRUE	-4.22	2.11	-2.11
"EHBP1"	"Q8NDI1"	0.000466055867204579	0.0362	TRUE	TRUE	-1.51	0.756	-0.756
"EHBP1L1"	"Q8N3D4"	1.04543662886199e-05	9.88e-06	TRUE	TRUE	-3.17	1.59	-1.59
"EIF1"	"P41567"	4.04030903758737e-05	0.000398	TRUE	TRUE	-0.622	0.311	-0.311
"FAM219A"	"Q8IW50"	8.62423890041668e-07	4.29e-10	TRUE	TRUE	-2.61	1.31	-1.31
"GBP1"	"P32455"	1.06980384356336e-08	2.79e-14	TRUE	TRUE	-4.73	2.36	-2.36
"GNGT2"	"O14610"	4.84442505980292e-09	2.79e-14	TRUE	TRUE	-4.37	2.19	-2.19
"GRN"	"P28799"	0.00013943374255982	0.00542	TRUE	TRUE	0.602	-0.301	0.301
"HRAS"	"P01112"	0.000176841050516796	0.00813	TRUE	TRUE	-2.09	1.04	-1.04
"IGHA1"	"P01876"	0.000277638253662746	0.0171	TRUE	TRUE	1.49	-0.746	0.746
"INF2"	"Q27J81"	5.21230979246459e-06	9.75e-07	TRUE	TRUE	-4.28	2.14	-2.14
"KPNA2"	"P52292"	0.000367474939392487	0.0259	TRUE	TRUE	-0.633	0.316	-0.316
"KRAS"	"P01116"	5.55647068708266e-06	1.2e-06	TRUE	TRUE	-2.06	1.03	-1.03
"KRTAP13-1"	"Q8IUC0"	8.88797638558889e-10	2.79e-14	TRUE	TRUE	-2.69	1.35	-1.35
"LMNA"	"P02545"	2.52126519569124e-05	0.000125	TRUE	TRUE	-1.36	0.68	-0.68
"LMNB1"	"P20700"	3.92622455651503e-10	2.79e-14	TRUE	TRUE	-4.74	2.37	-2.37
"LMNB2"	"Q03252"	2.40885640931248e-08	2.79e-14	TRUE	TRUE	-4	2	-2
"LRRFIP1"	"Q32MZ4"	1.13132626340593e-08	2.79e-14	TRUE	TRUE	-2.53	1.27	-1.27
"MAPKAPK3"	"Q16644"	4.35864040399564e-09	2.79e-14	TRUE	TRUE	-6.22	3.11	-3.11
"NAP1L1"	"P55209"	6.07806072822821e-09	2.79e-14	TRUE	TRUE	-4.5	2.25	-2.25
"NAP1L4"	"Q99733"	5.28164154611077e-06	1.02e-06	TRUE	TRUE	-1.79	0.895	-0.895
"NRAS"	"P01111"	1.53328423679231e-08	2.79e-14	TRUE	TRUE	-3.64	1.82	-1.82
"NSFL1C"	"Q9UNZ2"	0.000537899740632741	0.0441	TRUE	TRUE	-1.61	0.807	-0.807
"PEX19"	"P40855"	2.31717643560789e-07	2.19e-13	TRUE	TRUE	-4.42	2.21	-2.21
"PRICKLE3"	"O43900"	1.79302325633776e-07	5.08e-14	TRUE	TRUE	-3.98	1.99	-1.99
"PSMB10"	"P40306"	0.000305256955041489	0.0198	TRUE	TRUE	0.646	-0.323	0.323
"PTP4A1"	"Q93096"	3.78470954120535e-06	3.1e-07	TRUE	TRUE	-1.83	0.913	-0.913
"PTP4A2"	"Q12974"	4.76322706558167e-07	1.83e-11	TRUE	TRUE	-2.45	1.23	-1.23
"PTTG1IP"	"P53801"	5.1982708912389e-05	0.000713	TRUE	TRUE	4.48	-2.24	2.24
"RAB28"	"P51157"	2.16375460697574e-08	2.79e-14	TRUE	TRUE	-2.32	1.16	-1.16
"RABGAP1"	"Q9Y3P9"	6.27787939376452e-06	1.81e-06	TRUE	TRUE	-2.88	1.44	-1.44
"RAP2A"	"P10114"	4.39029731905786e-08	2.79e-14	TRUE	TRUE	-2.51	1.25	-1.25
"RAP2C"	"Q9Y3L5"	1.70350588258914e-07	2.79e-14	TRUE	TRUE	-4.56	2.28	-2.28
"REPIN1"	"Q9BWE0"	0.000118814310914273	0.00404	TRUE	TRUE	0.758	-0.379	0.379
"RHEB"	"Q15382"	4.54346501182757e-09	2.79e-14	TRUE	TRUE	-3.3	1.65	-1.65
"RHOH"	"Q15669"	3.24642923664678e-06	1.74e-07	TRUE	TRUE	-4.44	2.22	-2.22
"RIC1"	"Q4ADV7"	1.8789580347248e-07	5.08e-14	TRUE	TRUE	-2.3	1.15	-1.15
"RRAS2"	"P62070"	0.000115182001125919	0.00381	TRUE	TRUE	-3.1	1.55	-1.55
"SPDL1"	"Q96EA4"	0.000166473472697181	0.00736	TRUE	TRUE	-2.61	1.31	-1.31
"SPG20"	"Q8N0X7"	0.000215653785251597	0.0114	TRUE	TRUE	-1.28	0.642	-0.642
"SRGN"	"P10124"	2.65708289028802e-05	0.000142	TRUE	TRUE	1.22	-0.61	0.61
"TMEM123"	"Q8N131"	0.000372269310953838	0.0263	TRUE	TRUE	2.42	-1.21	1.21
"ULK3"	"Q6PHR2"	8.24933736854514e-07	3.48e-10	TRUE	TRUE	-2.58	1.29	-1.29
"WBP2"	"Q969T9"	6.54560808157987e-05	0.00119	TRUE	TRUE	-0.948	0.474	-0.474
"WDTC1"	"Q8N5D0"	6.84903162702115e-09	2.79e-14	TRUE	TRUE	-2.02	1.01	-1.01
"YKT6"	"O15498"	8.32720077567488e-07	3.64e-10	TRUE	TRUE	-2.71	1.36	-1.36
"ZFAND2B"	"Q8WV99"	3.4807435695137e-07	2.91e-12	TRUE	TRUE	-5.25	2.62	-2.62
"ZNF275"	"Q9NSD4"	0.000517750388163866	0.0419	TRUE	TRUE	1.07	-0.537	0.537
"AAAS"	"Q9NRG9"	0.226611800454392	0.93	FALSE	FALSE	0.334	-0.167	0.167
"AAMP"	"Q13685"	0.531600929563432	0.958	FALSE	FALSE	-0.321	0.16	-0.16
"AARS"	"P49588"	0.35680557683387	0.946	FALSE	FALSE	0.154	-0.0772	0.0772
"ABCE1"	"P61221"	0.149562352513688	0.911	FALSE	FALSE	0.2	-0.0999	0.0999
"ABCF1"	"Q8NE71"	0.230032849269523	0.931	FALSE	FALSE	-0.154	0.0768	-0.0768
"ABCF2"	"Q9UG63"	0.00671476532181345	0.466	FALSE	FALSE	-0.533	0.267	-0.267
"ABHD10"	"Q9NUJ1"	0.0478364045521261	0.824	FALSE	FALSE	0.309	-0.155	0.155
"ABI3"	"Q9P2A4"	0.957682610992523	0.97	FALSE	FALSE	-0.011	0.00552	-0.00552
"ABLIM1"	"O14639"	0.87341843741281	0.968	FALSE	FALSE	-0.0984	0.0492	-0.0492
"ABRACL"	"Q9P1F3"	0.0455574037311525	0.819	FALSE	FALSE	-0.344	0.172	-0.172
"ACAA1"	"P09110"	0.0444484064369381	0.816	FALSE	FALSE	-0.467	0.234	-0.234
"ACAA2"	"P42765"	0.680133868795608	0.963	FALSE	FALSE	0.0604	-0.0302	0.0302
"ACADM"	"P11310"	0.25460896422077	0.935	FALSE	FALSE	0.288	-0.144	0.144
"ACADVL"	"P49748"	0.0514813521610843	0.832	FALSE	FALSE	-0.397	0.199	-0.199
"ACAT1"	"P24752"	0.0903870904420792	0.88	FALSE	FALSE	0.22	-0.11	0.11
"ACAT2"	"Q9BWD1"	0.0844698617007973	0.875	FALSE	FALSE	-0.394	0.197	-0.197
"ACBD3"	"Q9H3P7"	0.917778479645537	0.969	FALSE	FALSE	0.039	-0.0195	0.0195
"ACIN1"	"Q9UKV3"	0.100759042158665	0.888	FALSE	FALSE	0.251	-0.126	0.126
"ACLY"	"P53396"	0.838292901099512	0.968	FALSE	FALSE	-0.0279	0.0139	-0.0139
"ACO2"	"Q99798"	0.0184647025757065	0.688	FALSE	FALSE	0.411	-0.206	0.206
"ACOT13"	"Q9NPJ3"	0.485594102635268	0.955	FALSE	FALSE	-0.277	0.138	-0.138
"ACOT7"	"O00154"	0.0153436750404977	0.653	FALSE	FALSE	0.41	-0.205	0.205
"ACOT8"	"O14734"	0.481279754795842	0.955	FALSE	FALSE	-0.12	0.0598	-0.0598
"ACP1"	"P24666"	0.308121591698114	0.942	FALSE	FALSE	0.15	-0.0752	0.0752
"ACSL3"	"O95573"	0.00644416179226722	0.456	FALSE	FALSE	0.494	-0.247	0.247
"ACSL4"	"O60488"	0.236777461235625	0.932	FALSE	FALSE	0.191	-0.0953	0.0953
"ACTB"	"P60709"	0.00898025890401934	0.536	FALSE	FALSE	0.341	-0.171	0.171
"ACTG1"	"P63261"	0.980114370825471	0.971	FALSE	FALSE	-0.006	0.003	-0.003
"ACTN1"	"P12814"	0.87923511918385	0.969	FALSE	FALSE	0.0214	-0.0107	0.0107
"ACTN4"	"O43707"	0.579212501839582	0.96	FALSE	FALSE	-0.0889	0.0445	-0.0445
"ACTR2"	"P61160"	0.493030989305113	0.956	FALSE	FALSE	0.107	-0.0533	0.0533
"ACTR3"	"P61158"	0.0913656040908854	0.881	FALSE	FALSE	0.254	-0.127	0.127
"ACYP1"	"P07311"	0.250551114008203	0.934	FALSE	FALSE	-0.528	0.264	-0.264
"ADA"	"P00813"	0.407933668089834	0.95	FALSE	FALSE	0.152	-0.0762	0.0762
"ADAR"	"P55265"	0.204612574731271	0.926	FALSE	FALSE	0.209	-0.104	0.104
"ADCK3"	"Q8NI60"	0.100216463407586	0.888	FALSE	FALSE	0.82	-0.41	0.41
