"name"	"ID"	"CntrStat_vs_Cntr_p.val"	"Farn_vs_Cntr_p.val"	"Farn_vs_CntrStat_p.val"	"Farn_vs_Gera_p.val"	"Farn_vs_GeraStat_p.val"	"FarnStat_vs_Cntr_p.val"	"FarnStat_vs_CntrStat_p.val"	"FarnStat_vs_Farn_p.val"	"FarnStat_vs_Gera_p.val"	"FarnStat_vs_GeraStat_p.val"	"Gera_vs_Cntr_p.val"	"Gera_vs_CntrStat_p.val"	"GeraStat_vs_Cntr_p.val"	"GeraStat_vs_CntrStat_p.val"	"GeraStat_vs_Gera_p.val"	"CntrStat_vs_Cntr_p.adj"	"Farn_vs_Cntr_p.adj"	"Farn_vs_CntrStat_p.adj"	"Farn_vs_Gera_p.adj"	"Farn_vs_GeraStat_p.adj"	"FarnStat_vs_Cntr_p.adj"	"FarnStat_vs_CntrStat_p.adj"	"FarnStat_vs_Farn_p.adj"	"FarnStat_vs_Gera_p.adj"	"FarnStat_vs_GeraStat_p.adj"	"Gera_vs_Cntr_p.adj"	"Gera_vs_CntrStat_p.adj"	"GeraStat_vs_Cntr_p.adj"	"GeraStat_vs_CntrStat_p.adj"	"GeraStat_vs_Gera_p.adj"	"CntrStat_vs_Cntr_significant"	"Farn_vs_Cntr_significant"	"Farn_vs_CntrStat_significant"	"Farn_vs_Gera_significant"	"Farn_vs_GeraStat_significant"	"FarnStat_vs_Cntr_significant"	"FarnStat_vs_CntrStat_significant"	"FarnStat_vs_Farn_significant"	"FarnStat_vs_Gera_significant"	"FarnStat_vs_GeraStat_significant"	"Gera_vs_Cntr_significant"	"Gera_vs_CntrStat_significant"	"GeraStat_vs_Cntr_significant"	"GeraStat_vs_CntrStat_significant"	"GeraStat_vs_Gera_significant"	"significant"	"CntrStat_vs_Cntr_ratio"	"Farn_vs_Cntr_ratio"	"Farn_vs_CntrStat_ratio"	"Farn_vs_Gera_ratio"	"Farn_vs_GeraStat_ratio"	"FarnStat_vs_Cntr_ratio"	"FarnStat_vs_CntrStat_ratio"	"FarnStat_vs_Farn_ratio"	"FarnStat_vs_Gera_ratio"	"FarnStat_vs_GeraStat_ratio"	"Gera_vs_Cntr_ratio"	"Gera_vs_CntrStat_ratio"	"GeraStat_vs_Cntr_ratio"	"GeraStat_vs_CntrStat_ratio"	"GeraStat_vs_Gera_ratio"	"Cntr_centered"	"CntrStat_centered"	"Farn_centered"	"FarnStat_centered"	"Gera_centered"	"GeraStat_centered"
"ABCB6"	"Q9NP58"	0.344158275797126	0.341815422475238	0.996229506832234	2.4522332314075e-18	5.89127405734905e-19	0.146018241787753	0.597199641872766	0.600456454245754	1.35434031790223e-18	3.35201293449284e-19	7.50303582202357e-18	2.46551350646428e-18	1.70169517173373e-18	5.92155979937397e-19	0.207277386687786	0.888	0.891	0.896	0.000177	0.00017	0.883	0.879	0.844	7.76e-06	4.49e-05	0.0462	0.0124	0.0402	0.0102	0.688	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	-0.147	-0.000725	-3.33	-3.53	-0.228	-0.0813	-0.0806	-3.41	-3.61	3.18	3.33	3.38	3.53	0.197	-1.01	-1.15	-1.15	-1.24	2.18	2.37
"ABHD16A"	"O95870"	0.256652225458649	1.32048314619251e-18	3.76672796880122e-19	5.01168733207759e-07	1.18812876785994e-05	1.90322637315252e-19	5.90532428127107e-20	0.0812515367445759	5.59739036010853e-05	0.00138945186401311	2.01357005633502e-21	7.46470083899575e-22	5.99365705251926e-21	2.13425627497455e-21	0.230976853055973	0.859	1.17e-14	5.93e-15	0.723	0.826	6.78e-12	7.51e-15	0.476	0.769	0.898	0.0019	0.000173	0.00543	0.00061	0.705	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	2.84	2.98	-0.836	-0.681	3.07	3.21	0.229	-0.607	-0.452	3.67	3.82	3.52	3.66	-0.155	-2.16	-2.3	0.679	0.908	1.51	1.36
"ACOX1"	"Q15067"	0.31963701126372	6.69496037355974e-21	2.69727590740198e-21	2.90223270984292e-05	9.50551885620244e-06	1.90804542705232e-21	8.00701751604282e-22	0.170362146575925	0.00117668131383755	0.00039185400426199	9.55459979267065e-23	4.38935577834482e-23	6.88525501092767e-23	3.1927795327591e-23	0.67522375887659	0.881	1.17e-14	5.93e-15	0.818	0.822	1.77e-14	7.51e-15	0.641	0.832	0.886	0.000304	1.81e-05	0.000445	2.72e-05	0.84	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	4	4.15	-0.729	-0.79	4.21	4.35	0.204	-0.526	-0.587	4.73	4.88	4.79	4.94	0.0612	-2.93	-3.08	1.07	1.28	1.8	1.86
"ACOX3"	"O15254"	0.260137463562132	0.257842048500156	0.995495292680724	1.88300899926174e-20	1.59846506572306e-20	0.0850256354194367	0.528299533583469	0.531956206264059	1.04040761119753e-20	8.86326993343789e-21	5.76027279243597e-20	1.89320110980533e-20	4.85631254158722e-20	1.60706466200411e-20	0.863567827449848	0.86	0.883	0.896	2.21e-06	7.48e-06	0.872	0.874	0.83	2.23e-08	1.19e-06	0.0093	0.00134	0.0123	0.00187	0.863	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	-0.147	-0.000725	-3.39	-3.41	-0.228	-0.0813	-0.0806	-3.47	-3.49	3.24	3.39	3.26	3.41	0.0221	-0.997	-1.14	-1.14	-1.22	2.24	2.27
"ACSL5"	"Q9ULC5"	0.363145493528438	0.360812035421125	0.996377765975481	1.734711689037e-21	2.73934510341918e-18	0.161891255201744	0.611622175881708	0.614786277589037	1.11954514365006e-21	1.54474873907455e-18	3.93309237713233e-21	1.74161787270513e-21	8.04930930002501e-18	2.75365289209496e-18	6.55558019354314e-08	0.892	0.893	0.896	1.23e-07	0.000499	0.885	0.879	0.847	6.65e-10	0.000152	0.00269	0.000305	0.0614	0.0178	1.22e-06	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	-0.146	-0.147	-0.000725	-4.63	-3.45	-0.228	-0.0813	-0.0806	-4.71	-3.53	4.48	4.63	3.31	3.45	-1.18	-1.21	-1.36	-1.36	-1.44	3.27	2.09
"ADPRHL2"	"Q9NX46"	0.242757580682559	0.240493344286617	0.995322629916571	1.43469730706514e-18	5.13866980253604e-19	0.0743597772218419	0.512739421129273	0.516475385039293	6.97941091439211e-19	2.56614369165246e-19	5.62730307736764e-18	1.44415557231136e-18	1.91473621420777e-18	5.17129750321602e-19	0.35459702264768	0.853	0.882	0.896	0.000118	0.000154	0.869	0.873	0.826	3.97e-06	3.59e-05	0.0426	0.0101	0.0416	0.00961	0.765	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	-0.147	-0.000725	-2.74	-2.86	-0.228	-0.0813	-0.0806	-2.82	-2.94	2.6	2.74	2.71	2.86	0.115	-0.798	-0.944	-0.945	-1.03	1.8	1.91
"AGK"	"Q53H12"	0.0500431263616714	1.05416358083623e-13	3.80759074912902e-12	3.89620175561168e-10	1.88841257449438e-10	1.62096908796755e-14	4.66021515816692e-13	0.251030166921429	5.18522136850782e-09	2.38443441736247e-09	3.26284245031081e-19	3.09822893354498e-18	2.27822414450079e-19	2.09827530442534e-18	0.733739170734052	0.572	2.12e-06	1.82e-07	0.412	0.446	6.18e-05	1.32e-06	0.716	0.388	0.577	0.0182	0.0135	0.0216	0.0163	0.848	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.275	1.88	1.61	-1.3	-1.34	2.04	1.77	0.157	-1.14	-1.19	3.18	2.91	3.23	2.95	0.046	-1.77	-1.49	0.116	0.273	1.41	1.46
"AGPAT3"	"Q9NRZ7"	0.227768374545589	0.225537988621202	0.995166171120142	2.59381313329363e-21	1.47171633115913e-20	0.0657140564199058	0.498860667767878	0.502663541894432	1.43565229421282e-21	7.83517509089853e-21	7.9092584481637e-21	2.6078114507001e-21	4.84017864550125e-20	1.48018825483214e-20	0.0670779240552648	0.845	0.88	0.896	1.99e-07	6.96e-06	0.867	0.872	0.823	1e-09	1.04e-06	0.00372	0.000389	0.0123	0.0018	0.488	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	-0.147	-0.000725	-3.41	-3.19	-0.228	-0.0813	-0.0806	-3.5	-3.27	3.27	3.41	3.04	3.19	-0.227	-0.964	-1.11	-1.11	-1.19	2.3	2.08
"AGPAT6"	"Q86UL3"	0.241015211668242	0.238754568904322	0.995304820483169	3.08095865092287e-25	1.81014539122305e-25	0.0733283657713113	0.511148950821587	0.514892768353708	2.04302111278686e-25	1.21009664152189e-25	6.63452002786968e-25	3.09245921679467e-25	3.83817798738676e-25	1.81676774585087e-25	0.399415196058084	0.852	0.881	0.896	7.65e-14	8.39e-14	0.869	0.873	0.826	3.23e-14	6.2e-14	5.51e-06	8.62e-08	6.87e-06	1.06e-07	0.781	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	-0.147	-0.000725	-5.01	-5.11	-0.228	-0.0813	-0.0806	-5.09	-5.19	4.86	5.01	4.96	5.11	0.105	-1.55	-1.7	-1.7	-1.78	3.31	3.41
"AGTRAP"	"Q6RW13"	0.291472806621149	0.289141054123121	0.995786414738522	5.18102630259838e-19	8.57922573512797e-19	0.10596955570576	0.555100652746621	0.558610795878633	2.76903052898119e-19	4.53269622380059e-19	1.6902436495908e-18	5.21066030802823e-19	2.86228085839374e-18	8.62921101798153e-19	0.644225680883875	0.872	0.887	0.896	5.35e-05	0.000223	0.877	0.876	0.836	1.49e-06	5.75e-05	0.0307	0.00681	0.0464	0.0118	0.835	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	-0.147	-0.000725	-3.17	-3.11	-0.228	-0.0813	-0.0806	-3.25	-3.19	3.03	3.17	2.96	3.11	-0.0635	-0.911	-1.06	-1.06	-1.14	2.11	2.05
