name	ID	CntrUS_vs_CntrStim_p.val	FarnStim_vs_CntrStim_p.val	FarnStim_vs_CntrUS_p.val	FarnStim_vs_GeraStim_p.val	FarnStim_vs_GeraUS_p.val	FarnUS_vs_CntrStim_p.val	FarnUS_vs_CntrUS_p.val	FarnUS_vs_FarnStim_p.val	FarnUS_vs_GeraStim_p.val	FarnUS_vs_GeraUS_p.val	GeraStim_vs_CntrStim_p.val	GeraStim_vs_CntrUS_p.val	GeraUS_vs_CntrStim_p.val	GeraUS_vs_CntrUS_p.val	GeraUS_vs_GeraStim_p.val	CntrUS_vs_CntrStim_p.adj	FarnStim_vs_CntrStim_p.adj	FarnStim_vs_CntrUS_p.adj	FarnStim_vs_GeraStim_p.adj	FarnStim_vs_GeraUS_p.adj	FarnUS_vs_CntrStim_p.adj	FarnUS_vs_CntrUS_p.adj	FarnUS_vs_FarnStim_p.adj	FarnUS_vs_GeraStim_p.adj	FarnUS_vs_GeraUS_p.adj	GeraStim_vs_CntrStim_p.adj	GeraStim_vs_CntrUS_p.adj	GeraUS_vs_CntrStim_p.adj	GeraUS_vs_CntrUS_p.adj	GeraUS_vs_GeraStim_p.adj	CntrUS_vs_CntrStim_significant	FarnStim_vs_CntrStim_significant	FarnStim_vs_CntrUS_significant	FarnStim_vs_GeraStim_significant	FarnStim_vs_GeraUS_significant	FarnUS_vs_CntrStim_significant	FarnUS_vs_CntrUS_significant	FarnUS_vs_FarnStim_significant	FarnUS_vs_GeraStim_significant	FarnUS_vs_GeraUS_significant	GeraStim_vs_CntrStim_significant	GeraStim_vs_CntrUS_significant	GeraUS_vs_CntrStim_significant	GeraUS_vs_CntrUS_significant	GeraUS_vs_GeraStim_significant	significant	CntrUS_vs_CntrStim_ratio	FarnStim_vs_CntrStim_ratio	FarnStim_vs_CntrUS_ratio	FarnStim_vs_GeraStim_ratio	FarnStim_vs_GeraUS_ratio	FarnUS_vs_CntrStim_ratio	FarnUS_vs_CntrUS_ratio	FarnUS_vs_FarnStim_ratio	FarnUS_vs_GeraStim_ratio	FarnUS_vs_GeraUS_ratio	GeraStim_vs_CntrStim_ratio	GeraStim_vs_CntrUS_ratio	GeraUS_vs_CntrStim_ratio	GeraUS_vs_CntrUS_ratio	GeraUS_vs_GeraStim_ratio	CntrStim_centered	CntrUS_centered	FarnStim_centered	FarnUS_centered	GeraStim_centered	GeraUS_centered
ADAM10	O14672	0.585992193952381	1.7464691098478202e-10	5.51421843405984e-10	6.252145653856089e-11	1.58446104227457e-12	7.8706648619755e-11	2.41842084874333e-10	0.697169957509759	1.37962147691991e-10	3.20341327745258e-12	1.26694519942279e-17	2.4371498871907902e-17	1.39598848779486e-18	2.5506419654835198e-18	0.0608737761520315	0.9	5.94e-06	0.000627	0.00298	0.00134	0.00132	6.29e-08	0.906	0.0519	0.00166	2.04e-05	1.82e-05	4.31e-05	1.14e-06	0.702	False	True	True	True	True	True	True	False	False	True	True	True	True	True	False	True	0.0901	1.66	1.57	-1.74	-2.06	1.72	1.63	0.0643	-1.68	-2.0	3.4	3.31	3.72	3.63	0.32	-1.76	-1.67	-0.107	-0.0425	1.63	1.95
ARL6IP1	Q15041	0.0014530198409679	1.0342055197267802e-09	5.1117260685657e-06	1.82447404633908e-08	3.56748644202325e-09	1.16479645024877e-09	5.89444469556893e-06	0.956545903526595	1.60556250356562e-08	3.1558736834674105e-09	1.04741914060639e-15	2.26729027963069e-13	3.9806341219880697e-16	7.08262853760984e-14	0.480413883567981	0.34	4.76e-05	0.127	0.0624	0.0757	0.00818	0.0127	0.922	0.201	0.0654	0.000739	0.00964	0.00307	0.00587	0.887	False	True	False	False	False	True	True	False	False	False	True	True	True	True	False	True	0.939	2.45	1.51	-2.11	-2.3	2.43	1.49	-0.0145	-2.13	-2.31	4.56	3.62	4.75	3.81	0.189	-2.52	-1.58	-0.0731	-0.0876	2.04	2.23
ARL6IP6	Q8N6S5	0.0076923424202597	0.593081227733876	0.0020312544494614	6.41306605737135e-13	1.30849162446642e-13	0.714926605422028	0.0031231331761872	0.864925696973161	4.78214636649791e-13	9.90717114247775e-14	2.56961347385433e-13	2.98915044597744e-15	5.49645500069833e-14	7.940130368461501e-16	0.350328809454624	0.527	0.904	0.591	6.47e-05	0.00022	0.906	0.347	0.917	0.00282	8.97e-05	0.016	0.000838	0.0302	0.000365	0.867	False	False	False	True	True	False	False	False	True	True	True	True	True	True	False	True	-0.81	0.152	0.962	-3.68	-3.95	0.104	0.914	-0.0482	-3.73	-4.0	3.83	4.64	4.1	4.91	0.267	-1.23	-2.04	-1.08	-1.13	2.6	2.87
ATP11B	Q9Y2G3	0.11072584401683	3.1164126368561595e-11	9.14747828570451e-10	7.31527355135264e-14	4.17988663919294e-14	3.36134063631069e-12	7.811326259830629e-11	0.246457241908733	5.16770196856092e-13	2.84258112598498e-13	8.790331869445941e-20	4.62826978513408e-19	6.23605250894495e-20	3.21270590369379e-19	0.725992442191249	0.802	5.26e-07	0.000928	5.28e-06	6.76e-05	8.43e-05	8.2e-09	0.837	0.00295	0.000253	1.92e-08	1.64e-07	1.09e-06	6.72e-08	0.91	False	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	0.418	2.78	2.37	-3.65	-3.74	3.08	2.67	0.3	-3.35	-3.44	6.44	6.02	6.53	6.11	0.0896	-3.21	-2.79	-0.424	-0.124	3.23	3.32
ATP1B3	P54709	0.936220974054578	1.84644398396138e-08	2.22945298712944e-08	3.47724588680692e-10	1.09206871754641e-08	0.0007021235344083	0.0008647461839355	0.000310923012153	1.56691263074482e-13	2.30792766926158e-12	5.255110498653089e-16	5.85794297470358e-16	4.699999354660891e-15	5.28546226818282e-15	0.128308854360892	0.921	0.000885	0.00878	0.0083	0.109	0.571	0.206	0.0969	0.00146	0.00134	0.000485	0.000307	0.0102	0.00121	0.785	False	True	True	True	False	False	False	False	True	True	True	True	True	True	False	True	0.0113	1.12	1.11	-1.37	-1.15	0.537	0.526	-0.581	-1.95	-1.73	2.49	2.48	2.27	2.26	-0.219	-1.07	-1.06	0.0478	-0.533	1.42	1.2
BAG6	P46379	0.0007558828588497	2.46718288169028e-06	3.30174175529437e-10	3.29846717709444e-05	0.0059831809433989	7.97846834051136e-05	5.9984710086534e-09	0.19410200797781	1.04828719791409e-06	0.0002007236111569	2.9645705383410096e-11	3.84444658072458e-14	1.9277932235166602e-09	1.07891911565963e-12	0.0538335384628631	0.28	0.0312	0.000424	0.487	0.816	0.395	9.34e-06	0.817	0.446	0.775	0.0947	0.00402	0.366	0.0229	0.687	False	True	True	False	False	False	True	False	False	False	False	True	False	True	False	True	-0.451	0.711	1.16	-0.593	-0.354	0.553	1.0	-0.158	-0.75	-0.512	1.3	1.76	1.06	1.52	-0.239	-0.53	-0.982	0.181	0.023	0.773	0.535
BAX	Q07812	0.0304110803744131	6.8189806105735505e-09	1.72935485440006e-06	2.45606592692462e-05	6.55889069086861e-08	2.04172612714905e-09	4.43206360351754e-07	0.594001535180828	0.0001014521074397	2.43642164744101e-07	3.0289802332645097e-13	1.82624174817934e-11	7.61811317446751e-15	2.76757841606288e-13	0.0270252864150458	0.687	0.000346	0.0824	0.462	0.174	0.0111	0.00143	0.897	0.725	0.279	0.0171	0.0598	0.0127	0.0114	0.592	False	True	False	False	False	True	True	False	False	False	True	False	True	True	False	True	0.509	1.88	1.37	-1.14	-1.66	2.0	1.49	0.12	-1.02	-1.54	3.01	2.51	3.54	3.03	0.521	-1.82	-1.31	0.0538	0.174	1.19	1.71
C18orf32	Q8TCD1	0.0102771435810783	5.522932495565269e-18	1.5654081911780001e-16	0.682714245502902	0.363010895972304	2.1935298649183802e-17	7.466212987897589e-16	0.247620278386313	0.122592989785863	0.0448191217143871	3.46567248560694e-18	9.25201412688978e-17	1.9659544979853e-18	4.88599773403585e-17	0.612578959986584	0.563	4.87e-14	8.42e-14	0.942	0.917	8.33e-14	3.85e-14	0.838	0.916	0.926	4.6e-06	6.77e-05	5.78e-05	3.35e-05	0.901	False	True	True	False	False	True	True	False	False	False	True	True	True	True	False	True	0.823	6.39	5.57	-0.123	-0.275	6.04	5.22	-0.352	-0.475	-0.627	6.52	5.69	6.67	5.85	0.152	-4.41	-3.58	1.99	1.63	2.11	2.26
CANX	P27824	0.483836985062495	0.0028879918899027	0.0004709244623054	4.9348508013859296e-11	2.0987821919592e-12	0.0057894696426248	0.0009777131985187	0.779647553759394	2.8384381174906596e-11	1.27236431677398e-12	1.34992132454018e-13	4.3402706132504e-14	9.840523930845982e-15	3.48550105347892e-15	0.104561980543838	0.891	0.498	0.454	0.00253	0.00158	0.712	0.216	0.912	0.0276	0.000864	0.0122	0.00429	0.0142	0.000945	0.764	False	False	False	True	True	False	False	False	True	True	True	True	True	True	False	True	-0.0613	0.284	0.345	-0.929	-1.07	0.259	0.321	-0.0244	-0.953	-1.1	1.21	1.27	1.36	1.42	0.145	-0.509	-0.57	-0.225	-0.249	0.704	0.849
CD38	P28907	0.724842129897418	6.53303020143941e-10	3.08658618161416e-10	4.24840474228685e-05	0.0006993965040493	2.33048137908847e-08	1.02177098187716e-08	0.121921419801539	6.83231907703131e-07	1.06212268096338e-05	7.45722861422542e-14	4.2490890189695704e-14	4.33244285204597e-13	2.38531004511942e-13	0.294472557574919	0.91	2.84e-05	0.000401	0.509	0.73	0.036	1.85e-05	0.772	0.417	0.596	0.00933	0.00424	0.0641	0.0108	0.855	False	True	True	False	False	True	True	False	False	False	True	True	False	True	False	True	-0.0834	2.23	2.31	-1.15	-0.903	1.85	1.94	-0.375	-1.53	-1.28	3.38	3.47	3.13	3.22	-0.251	-1.75	-1.84	0.477	0.102	1.63	1.38
