ID,name,fullName,substrate,location,moiety,AminoAcid,position,evidenceCode,publication,ProteinEntryReviewed,Exp_moiety,motif,pep
A0A1W2PQL4,ZN722,Zinc finger protein 722,krueppel C2H2-type zinc-finger protein,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
A5PLL7,PDES1,Plasmanylethanolamine desaturase 1,fatty acid desaturase CarF,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
A6NNY8,UBP27,Ubiquitin carboxyl-terminal hydrolase 27,peptidase C19,"['Nucleus', 'Cytosol']",,,0,,,True,S-farnesyl cysteine,internal,
O00161,SNP23,Synaptosomal-associated protein 23,SNAP-25,Membrane,S-palmitoyl cysteine,C,-1,ECO_0000269,doi:10.1194/jlr.d011106,True,S-farnesyl cysteine,internal,
O14734,ACOT8,Acyl-coenzyme A thioesterase 8,C/M/P thioester hydrolase,Peroxisome matrix,,,0,,,True,S-farnesyl cysteine,internal,
O15162,PLS1,Phospholipid scramblase 1,phospholipid scramblase,Membrane,S-palmitoyl cysteine,C,-1,ECO_0000305,doi:10.1021/bi026679w,True,S-farnesyl cysteine,internal,
O15391,TYY2,Transcription factor YY2,YY transcription factor,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
O15427,MOT4,Monocarboxylate transporter 4,Monocarboxylate porter (TC 2.A.1.13),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
O15554,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,potassium channel KCNN,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
O43586,PPIP1,Proline-serine-threonine phosphatase-interacting protein 1,PPIP1,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
O43615,TIM44,Mitochondrial import inner membrane translocase subunit TIM44,Tim44,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,SGT,"['Nucleus', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
O60282,KIF5C,Kinesin heavy chain isoform 5C,Kinesin,"['Dendrite', 'Cytoskeleton']",,,0,,,True,S-farnesyl cysteine,internal,
O60906,NSMA,Sphingomyelin phosphodiesterase 2,neutral sphingomyelinase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
O75438,NDUB1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,complex I NDUFB1 subunit,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
O75521,ECI2,Enoyl-CoA delta isomerase 2,In the C-terminal section belongs to the enoyl-CoA hydratase/isomerase,"['Mitochondrion', 'Peroxisome matrix']",,,0,,,True,S-farnesyl cysteine,internal,
O75832,PSD10,26S proteasome non-ATPase regulatory subunit 10,PSD10,"['Nucleus', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
O94915,FRYL,Protein furry homolog-like,furry protein,,,,0,,,True,S-farnesyl cysteine,internal,
O95169,NDUB8,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",complex I NDUFB8 subunit,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
O95479,G6PE,GDH/6PGL endoplasmic bifunctional protein,"['In the N-terminal section belongs to the glucose-6-phosphate dehydrogenase', 'In the C-terminal section belongs to the glucosamine/galactosamine-6-phosphate isomerase']",Endoplasmic reticulum lumen,,,0,,,True,S-farnesyl cysteine,internal,
O95573,ACSL3,Fatty acid CoA ligase Acsl3,ATP-dependent AMP-binding enzyme,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
O96000,NDUBA,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,complex I NDUFB10 subunit,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
O96008,TOM40,Mitochondrial import receptor subunit TOM40 homolog,Tom40,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P00395,COX1,Cytochrome c oxidase subunit 1,heme-copper respiratory oxidase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P03905,NU4M,NADH-ubiquinone oxidoreductase chain 4,complex I subunit 4,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P03915,NU5M,NADH-ubiquinone oxidoreductase chain 5,complex I subunit 5,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P04049,RAF1,RAF proto-oncogene serine/threonine-protein kinase,TKL Ser/Thr protein kinase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P04114,APOB,Apolipoprotein B-100,APOB,"['Lipid droplet', 'Secreted', 'Cytoplasm']",S-palmitoyl cysteine,C,-3,ECO_0000269,doi:10.1091/mbc.11.2.721,True,S-farnesyl cysteine,internal,
P04233,HG2A,HLA class II histocompatibility antigen gamma chain,HG2A,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P08195,4F2,4F2 cell-surface antigen heavy chain,SLC3A transporter,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P08842,STS,Steryl-sulfatase,sulfatase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P09110,THIK,"3-ketoacyl-CoA thiolase, peroxisomal",Thiolase,Peroxisome,,,0,,,True,S-farnesyl cysteine,internal,
P10515,ODP2,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",2-oxoacid dehydrogenase,Mitochondrion matrix,,,0,,,True,S-farnesyl cysteine,internal,
P11182,ODB2,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",2-oxoacid dehydrogenase,Mitochondrion matrix,,,0,,,True,S-farnesyl cysteine,internal,
P11279,LAMP1,Lysosome-associated membrane glycoprotein 1,LAMP,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P13473,LAMP2,Lysosome-associated membrane glycoprotein 2,LAMP,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P13612,ITA4,Integrin alpha-4,integrin alpha chain,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P13682,ZNF35,Zinc finger protein 35,krueppel C2H2-type zinc-finger protein,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
P16615,AT2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,cation transport ATPase (P-type) (TC 3.A.3),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P16930,FAAA,Fumarylacetoacetase,FAH,,,,0,,,True,S-farnesyl cysteine,internal,
P17900,SAP3,Ganglioside GM2 activator,SAP3,Lysosome,,,0,,,True,S-farnesyl cysteine,internal,
P20701,ITAL,Integrin alpha-L,integrin alpha chain,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P21796,VDAC1,Voltage-dependent anion-selective channel protein 1,eukaryotic mitochondrial porin,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P25098,ARBK1,Beta-adrenergic receptor kinase 1,AGC Ser/Thr protein kinase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P30519,HMOX2,Heme oxygenase 2,heme oxygenase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P30536,TSPO,Translocator protein,TspO/BZRP,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P30837,AL1B1,"Aldehyde dehydrogenase X, mitochondrial",aldehyde dehydrogenase,Mitochondrion matrix,,,0,,,True,S-farnesyl cysteine,internal,
P32189,GLPK,Glycerol kinase,FGGY kinase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P34910,EVI2B,Protein EVI2B,EVI2B,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P35611,ADDA,Alpha-adducin,aldolase class II,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P36542,ATPG,"ATP synthase subunit gamma, mitochondrial",ATPase gamma chain,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P37268,FDFT,Squalene synthase,phytoene/squalene synthase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P40937,RFC5,Replication factor C subunit 5,activator 1 small subunits,Nucleus,,,0,,,True,S-farnesyl cysteine,internal,
P42126,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial",enoyl-CoA hydratase/isomerase,Mitochondrion matrix,,,0,,,True,S-farnesyl cysteine,internal,
P43007,SATT,Neutral amino acid transporter A,dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23),Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P43489,TNR4,Tumor necrosis factor receptor superfamily member 4,TNR4,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P49189,AL9A1,4-trimethylaminobutyraldehyde dehydrogenase,aldehyde dehydrogenase,Cytosol,,,0,,,True,S-farnesyl cysteine,internal,
P49753,ACOT2,"Acyl-coenzyme A thioesterase 2, mitochondrial",C/M/P thioester hydrolase,Mitochondrion,,,0,,,True,S-farnesyl cysteine,internal,
P50416,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform",carnitine/choline acetyltransferase,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P51116,FXR2,RNA-binding protein FXR2,FMR1,"['Cytoplasmic ribonucleoprotein granule', 'Postsynapse', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
P53990,IST1,IST1 homolog,IST1,"['Midbody', 'Centrosome', 'Cytoplasmic vesicle', 'Nucleus envelope']",,,0,,,True,S-farnesyl cysteine,internal,
P54136,SYRC,"Arginine--tRNA ligase, cytoplasmic",class-I aminoacyl-tRNA synthetase,"['Cytosol', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
P57740,NU107,Nuclear pore complex protein Nup107,nucleoporin Nup84/Nup107,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P60059,SC61G,Protein transport protein Sec61 subunit gamma,SecE/SEC61-gamma,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P60228,EIF3E,Eukaryotic translation initiation factor 3 subunit E,eIF-3 subunit E,"['PML body', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
P67812,SC11A,Signal peptidase complex catalytic subunit SEC11A,peptidase S26B,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
P78347,GTF2I,General transcription factor II-I,TFII-I,"['Nucleus', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,PI3/PI4-kinase,"['Nucleus', 'Nucleolus']",,,0,,,True,S-farnesyl cysteine,internal,
Q03518,TAP1,Antigen peptide transporter 1,ABCB,Membrane,,,0,,,True,S-farnesyl cysteine,internal,
Q04446,GLGB,"1,4-alpha-glucan-branching enzyme",glycosyl hydrolase 13,,,,0,,,True,S-farnesyl cysteine,internal,
Q07065,CKAP4,Cytoskeleton-associated protein 4,CKAP4,Membrane,S-palmitoyl cysteine by ZDHHC2,C,-5,ECO_0000269,"['doi:10.1091/mbc.e08-08-0849', 'doi:10.1074/mcp.m800069-mcp200']",True,S-farnesyl cysteine,internal,
Q12905,ILF2,Interleukin enhancer-binding factor 2,ILF2,"['Nucleus', 'Nucleolus', 'Cytoplasm']",,,0,,,True,S-farnesyl cysteine,internal,
