ID,name,fullName,substrate,location,moiety,AminoAcid,position,evidenceCode,publication,ProteinEntryReviewed,Exp_moiety,motif,pep
A1L0T0,HACL2,2-hydroxyacyl-CoA lyase 2,TPP enzyme,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O00423,EMAL1,Echinoderm microtubule-associated protein-like 1,WD repeat EMAP,"['Perinuclear region', 'Cytoskeleton', 'Cytoplasm']",,,0,,,True,S-geranylgeranyl cysteine,internal,
O14569,C56D2,Transmembrane reductase CYB561D2,C56D2,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O14653,GOSR2,Golgi SNAP receptor complex member 2,GOSR2,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O15118,NPC1,NPC intracellular cholesterol transporter 1,patched,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O15228,GNPAT,Dihydroxyacetone phosphate acyltransferase,GPAT/DAPAT,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,acyl-CoA oxidase,Peroxisome,,,0,,,True,S-geranylgeranyl cysteine,internal,
O15321,TM9S1,Transmembrane 9 superfamily member 1,nonaspanin (TM9SF) (TC 9.A.2),Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O15397,IPO8,Importin-8,importin beta,"['Nucleus', 'Cytoplasm']",,,0,,,True,S-geranylgeranyl cysteine,internal,
O60669,MOT2,Monocarboxylate transporter 2,Monocarboxylate porter (TC 2.A.1.13),Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O60725,ICMT,Protein-S-isoprenylcysteine O-methyltransferase,Isoprenylcysteine carboxyl methyltransferase,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O94901,SUN1,SUN domain-containing protein 1,SUN1,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
O95214,LERL1,Leptin receptor overlapping transcript-like 1,OB-RGRP/VPS55,Membrane,,,0,,,True,S-geranylgeranyl cysteine,internal,
