"name"	"ID"	"CntrStat_vs_Cntr_p.val"	"Farn_vs_Cntr_p.val"	"Farn_vs_CntrStat_p.val"	"Farn_vs_Gera_p.val"	"Farn_vs_GeraStat_p.val"	"FarnStat_vs_Cntr_p.val"	"FarnStat_vs_CntrStat_p.val"	"FarnStat_vs_Farn_p.val"	"FarnStat_vs_Gera_p.val"	"FarnStat_vs_GeraStat_p.val"	"Gera_vs_Cntr_p.val"	"Gera_vs_CntrStat_p.val"	"GeraStat_vs_Cntr_p.val"	"GeraStat_vs_CntrStat_p.val"	"GeraStat_vs_Gera_p.val"	"CntrStat_vs_Cntr_p.adj"	"Farn_vs_Cntr_p.adj"	"Farn_vs_CntrStat_p.adj"	"Farn_vs_Gera_p.adj"	"Farn_vs_GeraStat_p.adj"	"FarnStat_vs_Cntr_p.adj"	"FarnStat_vs_CntrStat_p.adj"	"FarnStat_vs_Farn_p.adj"	"FarnStat_vs_Gera_p.adj"	"FarnStat_vs_GeraStat_p.adj"	"Gera_vs_Cntr_p.adj"	"Gera_vs_CntrStat_p.adj"	"GeraStat_vs_Cntr_p.adj"	"GeraStat_vs_CntrStat_p.adj"	"GeraStat_vs_Gera_p.adj"	"CntrStat_vs_Cntr_significant"	"Farn_vs_Cntr_significant"	"Farn_vs_CntrStat_significant"	"Farn_vs_Gera_significant"	"Farn_vs_GeraStat_significant"	"FarnStat_vs_Cntr_significant"	"FarnStat_vs_CntrStat_significant"	"FarnStat_vs_Farn_significant"	"FarnStat_vs_Gera_significant"	"FarnStat_vs_GeraStat_significant"	"Gera_vs_Cntr_significant"	"Gera_vs_CntrStat_significant"	"GeraStat_vs_Cntr_significant"	"GeraStat_vs_CntrStat_significant"	"GeraStat_vs_Gera_significant"	"significant"	"CntrStat_vs_Cntr_ratio"	"Farn_vs_Cntr_ratio"	"Farn_vs_CntrStat_ratio"	"Farn_vs_Gera_ratio"	"Farn_vs_GeraStat_ratio"	"FarnStat_vs_Cntr_ratio"	"FarnStat_vs_CntrStat_ratio"	"FarnStat_vs_Farn_ratio"	"FarnStat_vs_Gera_ratio"	"FarnStat_vs_GeraStat_ratio"	"Gera_vs_Cntr_ratio"	"Gera_vs_CntrStat_ratio"	"GeraStat_vs_Cntr_ratio"	"GeraStat_vs_CntrStat_ratio"	"GeraStat_vs_Gera_ratio"	"Cntr_centered"	"CntrStat_centered"	"Farn_centered"	"FarnStat_centered"	"Gera_centered"	"GeraStat_centered"
"A0A1W2PQL4"	"A0A1W2PQL4"	0.478532858661985	2.39253198678497e-12	6.62292678355053e-13	4.63434756271056e-14	3.11717557666502e-14	3.26003343680013e-14	1.06763431369669e-14	0.0178190594758531	1.04451491868716e-15	7.37390758438754e-16	0.0291801530222081	0.124106177210629	0.016703565507751	0.0774278530845706	0.805081780700864	0.914	6.16e-05	1.2e-08	0.0398	0.0564	0.000113	5.41e-09	0.2	0.00144	0.00797	0.913	0.909	0.917	0.914	0.857	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.146	2.5	2.65	2.97	3.02	3.02	3.16	0.515	3.49	3.54	-0.47	-0.324	-0.521	-0.374	-0.0508	-0.73	-0.876	1.77	2.29	-1.2	-1.25
"AAMP"	"Q13685"	0.301652093325213	3.81783232390261e-12	5.75532950187095e-13	0.630400474800821	0.0612616306723388	2.40968602346175e-11	3.25266233931865e-12	0.342421897369577	0.635152678373142	0.33180262766448	9.52686069230154e-12	1.35998038057189e-12	1.77653211043867e-10	2.12237046481406e-11	0.153787343006456	0.876	9.51e-05	9.51e-09	0.932	0.92	0.00985	1.27e-05	0.769	0.917	0.941	0.597	0.401	0.719	0.567	0.639	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.146	1.67	1.82	0.0677	0.272	1.54	1.68	-0.134	-0.0667	0.137	1.6	1.75	1.4	1.55	-0.204	-1.01	-1.16	0.66	0.526	0.593	0.388
"ABHD16A"	"O95870"	0.256652225458649	1.32048314619251e-18	3.76672796880122e-19	5.01168733207759e-07	1.18812876785994e-05	1.90322637315252e-19	5.90532428127107e-20	0.0812515367445759	5.59739036010853e-05	0.00138945186401311	2.01357005633502e-21	7.46470083899575e-22	5.99365705251926e-21	2.13425627497455e-21	0.230976853055973	0.859	1.17e-14	5.93e-15	0.723	0.826	6.78e-12	7.51e-15	0.476	0.769	0.898	0.0019	0.000173	0.00543	0.00061	0.705	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	2.84	2.98	-0.836	-0.681	3.07	3.21	0.229	-0.607	-0.452	3.67	3.82	3.52	3.66	-0.155	-2.16	-2.3	0.679	0.908	1.51	1.36
"ACAA1"	"P09110"	0.64101104052401	2.47438483568344e-15	4.94041532400015e-15	2.06933248206358e-05	1.1281936327332e-09	4.04925602192231e-13	9.22360440457708e-13	0.0033345619085087	0.06203282032038	2.62502540488352e-06	1.41399552109243e-11	3.55853438878377e-11	9.01545703236716e-08	2.88966075147399e-07	0.000442042206742552	0.932	1.23e-08	5.81e-13	0.812	0.538	0.000813	3.01e-06	0.0655	0.889	0.81	0.611	0.545	0.828	0.806	0.0377	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	0.106	3.72	3.61	1.17	2.07	2.99	2.88	-0.728	0.439	1.34	2.55	2.45	1.65	1.54	-0.905	-1.84	-1.73	1.88	1.16	0.716	-0.189
"ACAP1"	"Q15027"	0.251276776770309	6.00211702942566e-24	1.3844523490113e-23	1.7147625896462e-21	9.55954485682583e-22	7.720601421385e-24	1.79526264972507e-23	0.723710880375483	2.34123527884518e-21	1.29644540676066e-21	9.96510015409869e-08	1.90244455545317e-06	5.4282100799464e-07	1.12274992984341e-05	0.501380659279818	0.857	1.17e-14	5.93e-15	1.21e-07	3.32e-07	1.77e-14	7.51e-15	0.865	2.19e-09	1.17e-07	0.813	0.813	0.848	0.85	0.808	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.109	3.4	3.29	2.72	2.78	3.36	3.25	-0.0332	2.69	2.75	0.676	0.566	0.612	0.503	-0.0634	-1.36	-1.25	2.04	2	-0.684	-0.747
"ACOT8"	"O14734"	0.0265443241529168	8.90781859945735e-11	1.534315091509e-08	0.0260950163503421	0.0613172494599645	1.21930641654695e-11	1.55531568365125e-09	0.324175028196736	0.00238509404038848	0.00646307101339386	1.56240492495089e-08	5.42969822398045e-06	6.13152667439166e-09	1.90725534291183e-06	0.689940042622146	0.464	0.00128	0.00158	0.904	0.92	0.00689	0.0027	0.76	0.843	0.912	0.785	0.826	0.79	0.831	0.842	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.326	1.44	1.11	0.327	0.271	1.58	1.25	0.139	0.466	0.41	1.11	0.788	1.17	0.844	0.0559	-0.938	-0.612	0.502	0.641	0.175	0.231
"ACOX1"	"Q15067"	0.31963701126372	6.69496037355974e-21	2.69727590740198e-21	2.90223270984292e-05	9.50551885620244e-06	1.90804542705232e-21	8.00701751604282e-22	0.170362146575925	0.00117668131383755	0.00039185400426199	9.55459979267065e-23	4.38935577834482e-23	6.88525501092767e-23	3.1927795327591e-23	0.67522375887659	0.881	1.17e-14	5.93e-15	0.818	0.822	1.77e-14	7.51e-15	0.641	0.832	0.886	0.000304	1.81e-05	0.000445	2.72e-05	0.84	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.146	4	4.15	-0.729	-0.79	4.21	4.35	0.204	-0.526	-0.587	4.73	4.88	4.79	4.94	0.0612	-2.93	-3.08	1.07	1.28	1.8	1.86
"ADD1"	"P35611"	4.01884839477353e-05	2.07284755638846e-12	6.78423499380368e-08	1.49818187400763e-07	2.60228435777709e-09	2.80514162417733e-13	4.66976786874424e-09	0.265392107463236	2.66768642390515e-06	3.63696125333723e-08	4.63827450484211e-17	5.07538596621986e-14	5.76192358685102e-18	3.61518032395863e-15	0.0970939381599301	0.002	5.38e-05	0.00469	0.685	0.578	0.000627	0.00547	0.726	0.679	0.692	0.0809	0.245	0.0562	0.171	0.557	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.599	1.5	0.902	-0.863	-1.07	1.64	1.04	0.138	-0.725	-0.934	2.36	1.77	2.57	1.97	0.209	-1.45	-0.847	0.055	0.193	0.918	1.13
"ADRBK1"	"P25098"	0.634892149758315	2.90314541392109e-21	4.45352955203517e-21	3.34261479764888e-20	5.06460025685703e-21	3.28071281733306e-21	5.0426127559256e-21	0.891246809307718	3.82141150872346e-20	5.73792546636773e-21	0.0136765995405697	0.0398261929856037	0.538453023635618	0.887473293820952	0.0536759857525217	0.931	1.17e-14	5.93e-15	4.04e-06	2.37e-06	1.77e-14	7.51e-15	0.885	1.37e-07	7.31e-07	0.91	0.902	0.934	0.93	0.446	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0595	3.55	3.49	3.22	3.47	3.53	3.47	-0.0171	3.2	3.45	0.327	0.268	0.0772	0.0177	-0.25	-1.26	-1.2	2.29	2.27	-0.93	-1.18
"AGK"	"Q53H12"	0.0500431263616714	1.05416358083623e-13	3.80759074912902e-12	3.89620175561168e-10	1.88841257449438e-10	1.62096908796755e-14	4.66021515816692e-13	0.251030166921429	5.18522136850782e-09	2.38443441736247e-09	3.26284245031081e-19	3.09822893354498e-18	2.27822414450079e-19	2.09827530442534e-18	0.733739170734052	0.572	2.12e-06	1.82e-07	0.412	0.446	6.18e-05	1.32e-06	0.716	0.388	0.577	0.0182	0.0135	0.0216	0.0163	0.848	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.275	1.88	1.61	-1.3	-1.34	2.04	1.77	0.157	-1.14	-1.19	3.18	2.91	3.23	2.95	0.046	-1.77	-1.49	0.116	0.273	1.41	1.46
